Comparison,JSD,Cramér's V,Chi² p-value,Centroid Dist (8D),Centroid Dist (2D),Same-Source kNN (k=15),Mean |Cohen's d| (8D)
Public vs Artist,0.3103285334295413,0.7156401221349896,7.7513559003222e-220,2.684575080871582,2.542091131210327,0.9864186046511628,0.6684790914878249
Public vs Public Probes,0.23685617674743042,0.5391815564219224,1.0692315030058419e-57,2.248272180557251,2.1185803413391113,0.9264972246567339,0.3624675776809454
Artist vs Public Probes,0.05605596349821659,0.32968596203849154,3.0256524801521576e-28,1.6853491067886353,1.0812081098556519,0.9464546056991385,0.6817202204838395
