hidden_layer_sizes,alpha,lr,n_params,r2_train,r2_val,cv_r2_mean,cv_r2_std,knn_preservation_k15,cluster_agreement,cluster_ari,min_cluster_r2,mean_cluster_r2,max_mae_dim,n_iter,composite,min_cluster_r2_clipped,composite_fixed
"(1024,)",0.01,0.0001,1054725,0.94731,0.54752,0.50827,0.09601,0.21584,0.40613,0.17523,-315625728.0,-18574491.35653,3.46551,67,,0.0,0.5477663802644221
"(1024,)",0.001,0.0001,1054725,0.94726,0.54704,0.50752,0.0962,0.21533,0.40613,0.17523,-315977248.0,-18595178.5331,3.46811,67,,0.0,0.5471106379955998
"(1024,)",0.0001,0.0001,1054725,0.94725,0.54699,0.50746,0.09621,0.21533,0.40613,0.17523,-316010240.0,-18597120.55593,3.46835,67,,0.0,0.5470831264916318
"(1024,)",1e-05,0.0001,1054725,0.94725,0.54699,0.50745,0.09621,0.21533,0.40613,0.17523,-316004448.0,-18596779.52197,3.46835,67,,0.0,0.5470820027572376
"(1024,)",1e-06,0.0001,1054725,0.94725,0.54699,0.50745,0.09621,0.21533,0.40613,0.17523,-316003136.0,-18596702.38998,3.46835,67,,0.0,0.5470820027572376
"(256, 128)",0.01,0.0001,295941,0.95233,0.55001,0.50727,0.09706,0.21124,0.40613,0.17116,-141993648.0,-8358493.72146,3.12485,117,,0.0,0.5450368029047973
"(256, 128)",0.001,0.0001,295941,0.95205,0.54965,0.50616,0.09713,0.21175,0.4023,0.16939,-142157632.0,-8368148.85531,3.13113,106,,0.0,0.5440652418551263
"(256, 128)",1e-05,0.0001,295941,0.95207,0.54905,0.50608,0.09726,0.21124,0.4023,0.17018,-141772384.0,-8345485.71039,3.13035,106,,0.0,0.5434703959696315
"(256, 128)",0.0001,0.0001,295941,0.95178,0.5491,0.5061,0.09723,0.21098,0.4023,0.16854,-142275808.0,-8375116.34139,3.13531,106,,0.0,0.543332391424971
"(256, 128)",1e-06,0.0001,295941,0.9518,0.54886,0.50622,0.09715,0.21047,0.4023,0.17018,-141173664.0,-8310283.20961,3.13339,106,,0.0,0.5429678003231636
"(512, 128)",0.01,0.0001,591109,0.95465,0.56386,0.51331,0.10052,0.19693,0.39847,0.16119,-227867392.0,-13409199.35908,3.16183,76,,0.0,0.5374512104664626
"(512, 128)",1e-05,0.0001,591109,0.95461,0.56325,0.51246,0.10083,0.19693,0.39847,0.15813,-229070976.0,-13480002.55031,3.16679,76,,0.0,0.53702296507035
"(512, 128)",1e-06,0.0001,591109,0.9546,0.56319,0.51248,0.1007,0.19642,0.39847,0.15813,-229354336.0,-13496669.9337,3.16663,76,,0.0,0.5367278140448339
"(512, 128)",0.0001,0.0001,591109,0.9546,0.5632,0.51249,0.10076,0.19642,0.39847,0.16119,-229275616.0,-13492038.76255,3.16645,76,,0.0,0.5367069246366487
"(512, 128)",0.001,0.0001,591109,0.9546,0.5633,0.51256,0.10074,0.19591,0.39847,0.16119,-228996992.0,-13475653.84104,3.16563,76,,0.0,0.5364239226112687
"(256, 64)",1e-06,0.0005,279173,0.9545,0.52791,0.51811,0.09138,0.20051,0.41379,0.21567,-205727744.0,-12111433.04788,3.27699,52,,0.0,0.5364051822234163
"(256, 64)",0.001,0.0005,279173,0.95455,0.52813,0.51815,0.09132,0.20153,0.40996,0.21224,-204892320.0,-12062319.25226,3.2792,52,,0.0,0.5361420871914747
"(256, 64)",1e-05,0.0005,279173,0.9545,0.5279,0.5181,0.09137,0.2,0.41379,0.21567,-205706496.0,-12110182.12748,3.27695,52,,0.0,0.5360725628814659
"(256, 64)",0.0001,0.0005,279173,0.95451,0.52789,0.51822,0.09145,0.2,0.40996,0.21357,-205710464.0,-12110425.23407,3.27733,52,,0.0,0.5350184346620863
"(256, 64)",0.01,0.0005,279173,0.95485,0.53154,0.55029,0.13417,0.19949,0.40996,0.21342,-204428400.0,-12034876.654,3.27295,78,,0.0,0.521468012768909
"(256,)",0.001,0.002,263685,0.95041,0.54685,0.59599,0.17464,0.20843,0.37548,0.16895,-197281200.0,-11610906.23052,3.63769,38,,0.0,0.5111397347626642
"(256,)",0.01,0.002,263685,0.9507,0.54819,0.57981,0.17758,0.20639,0.38314,0.1724,-199775552.0,-11757649.46767,3.63502,38,,0.0,0.5092556685906906
"(512,)",1e-06,0.001,527365,0.95056,0.53923,0.46645,0.12861,0.1977,0.38314,0.16068,-226401152.0,-13326103.26727,3.58316,25,,0.0,0.5085552387173695
"(512,)",1e-05,0.001,527365,0.95056,0.53923,0.46645,0.12864,0.1977,0.38314,0.16068,-226416288.0,-13326993.6215,3.58321,25,,0.0,0.5085425772840952
"(512,)",0.01,0.001,527365,0.9506,0.53905,0.49172,0.14075,0.19796,0.3908,0.1621,-226151376.0,-13311368.68038,3.5778,25,,0.0,0.5084422215403229
"(512,)",0.0001,0.001,527365,0.95057,0.53907,0.46635,0.12853,0.19617,0.38314,0.16068,-226321072.0,-13321394.71674,3.58416,25,,0.0,0.5075275905279527
"(512,)",0.001,0.001,527365,0.95055,0.53887,0.46638,0.12868,0.19617,0.38314,0.16068,-226306272.0,-13320512.46085,3.58016,25,,0.0,0.5074014600853834
"(256,)",1e-05,0.002,263685,0.95046,0.54692,0.5396,0.17069,0.20817,0.37931,0.17706,-198649216.0,-11691458.92005,3.64799,38,,0.0,0.5073543307158496
"(256,)",1e-06,0.002,263685,0.95046,0.54692,0.54488,0.17631,0.20817,0.37931,0.17706,-198650480.0,-11691533.26727,3.64799,38,,0.0,0.5055757539759126
"(256,)",0.0001,0.002,263685,0.95046,0.54669,0.56098,0.19269,0.20817,0.37931,0.17828,-199277152.0,-11728393.80783,3.64612,38,,0.0,0.5003957001314495
"(512,)",0.01,0.0005,527365,0.9486,0.52024,0.47406,0.15027,0.19847,0.36398,0.14252,-254388432.0,-14973051.98598,3.79724,119,,0.0,0.48933016024404846
"(512,)",0.0001,0.0005,527365,0.94855,0.51402,0.42738,0.13768,0.19336,0.36398,0.14383,-265859120.0,-15647845.30247,3.82783,31,,0.0,0.4840089198956603
"(512,)",0.001,0.0005,527365,0.94856,0.51408,0.42741,0.13763,0.1931,0.36398,0.14383,-265744544.0,-15641107.02421,3.82822,31,,0.0,0.48388378976487895
"(512,)",1e-05,0.0005,527365,0.94855,0.51403,0.42737,0.13768,0.1931,0.36398,0.14383,-265833136.0,-15646319.19567,3.82787,31,,0.0,0.4838416438186669
"(512,)",1e-06,0.0005,527365,0.94855,0.51403,0.42736,0.13769,0.1931,0.36398,0.14383,-265826528.0,-15645930.74757,3.8279,31,,0.0,0.4838362996065147
"(512, 64)",0.01,0.0001,557957,0.94868,0.48079,0.47738,0.11067,0.18365,0.35632,0.1537,-119642928.0,-7051148.35334,3.79793,93,,0.0,0.4816390541605831
"(512, 64)",0.001,0.0001,557957,0.94863,0.48007,0.47633,0.11101,0.18467,0.35249,0.15306,-119184192.0,-7024147.91925,3.80124,93,,0.0,0.4807735389162691
"(512, 64)",1e-06,0.0001,557957,0.94855,0.47972,0.47638,0.11078,0.18467,0.35249,0.15324,-119659952.0,-7052175.72702,3.80518,90,,0.0,0.4807603882377599
"(512, 64)",1e-05,0.0001,557957,0.94856,0.47978,0.47632,0.11088,0.18416,0.35249,0.15306,-119693104.0,-7054129.59974,3.80438,90,,0.0,0.48039889303628314
"(512, 64)",0.0001,0.0001,557957,0.94857,0.47978,0.47624,0.11095,0.18416,0.35249,0.15324,-119750016.0,-7057481.1955,3.80391,90,,0.0,0.48036035981682346
"(256, 64)",0.0001,0.0001,279173,0.94727,0.4684,0.44461,0.10448,0.17778,0.341,0.15529,-239601248.0,-14105450.75591,3.50863,118,,0.0,0.4685202142999582
"(512,)",0.01,0.0001,527365,0.94665,0.49805,0.40594,0.14325,0.18467,0.36398,0.13947,-281039808.0,-16540936.76651,3.96209,92,,0.0,0.46829925437839703
"(256, 64)",0.01,0.0001,279173,0.94739,0.4695,0.44551,0.10384,0.17548,0.341,0.16077,-238942304.0,-14066671.70421,3.50598,118,,0.0,0.467756443096591
"(512,)",0.0001,0.0001,527365,0.94656,0.49731,0.40457,0.14362,0.18467,0.36398,0.13947,-281065568.0,-16542465.65355,3.96475,88,,0.0,0.46774422551564343
"(256, 64)",0.001,0.0001,279173,0.94729,0.46844,0.44483,0.10444,0.17803,0.33716,0.15377,-239920208.0,-14124239.84845,3.50812,118,,0.0,0.46770477136862015
"(512,)",0.001,0.0001,527365,0.9466,0.4975,0.40464,0.14359,0.18442,0.36398,0.13947,-281341056.0,-16558669.97661,3.96514,92,,0.0,0.467664693550311
"(512,)",1e-05,0.0001,527365,0.94659,0.49744,0.40456,0.14363,0.18442,0.36398,0.13947,-281400256.0,-16562152.28295,3.96547,92,,0.0,0.4676189634203114
"(512,)",1e-06,0.0001,527365,0.94659,0.49744,0.40456,0.14363,0.18442,0.36398,0.13947,-281401312.0,-16562214.45192,3.96547,92,,0.0,0.4676189634203114
