n_neighbors,min_dist,n_components,n_seeds,trustworthiness_consensus,trustworthiness_mean_seeds,best_k,best_silhouette,best_ari_seed_consensus,best_min_cluster_size,sil_norm,ari_norm,combined_score
20,0.05,4,5,0.9210258948244414,0.9365545566123826,70,0.7205502986907959,0.7172869637969022,6,0.9926060986493067,0.9331333465274951,0.9628697225884009
17,0.0425,11,5,0.9215841853960163,0.938931453619271,70,0.7215754985809326,0.6974225031663779,6,0.9999999278791454,0.830747106264318,0.9153735170717316
17,0.05,10,5,0.9220440955378831,0.9393025163705792,70,0.7058049440383911,0.7113949483696942,6,0.8862613406346058,0.9027644722658164,0.8945129064502111
17,0.05,11,5,0.9211142568804521,0.9390338191354054,70,0.7118302583694458,0.6884627754908905,6,0.9297164225640201,0.7845665002293645,0.8571414613966923
17,0.0425,12,5,0.9212066930750997,0.9394923133471231,70,0.7112216949462891,0.6724244795624805,6,0.9253274111432845,0.7019012393455716,0.8136143252444281
17,0.1,6,5,0.9225221723307212,0.9403754975513982,70,0.6911493539810181,0.696990735048472,6,0.7805639725513082,0.8285216688321049,0.8045428206917065
36,0.0425,12,5,0.9229383578371623,0.9424950826482436,20,0.6671721339225769,0.7287641486947144,10,0.6076382121957029,0.9922895366878569,0.7999638744417799
20,0.05,13,5,0.9218246041017003,0.9407575448928892,70,0.6943280696868896,0.689933182784177,6,0.8034891419017323,0.7921453354776683,0.7978172386897002
31,0.0425,5,5,0.9211155258744538,0.9411460173513779,70,0.6793557405471802,0.7103448957041445,9,0.6955074244854484,0.8973522465576208,0.7964298355215347
36,0.0425,13,5,0.9220004376916153,0.9428192015267112,20,0.6766945123672485,0.7126954152395444,18,0.6763144194009232,0.9094673934207045,0.7928909064108138
