n_neighbors,min_dist,n_components,n_seeds,trustworthiness_consensus,trustworthiness_mean_seeds,best_k,best_silhouette,best_ari_seed_consensus,best_min_cluster_size
15,0.01,5,10,0.9124055517819681,0.936452137664922,70,0.7430909276008606,0.6958387068446305,6
15,0.01,6,10,0.9152722982839416,0.936654085815608,65,0.7505589127540588,0.6767664402620195,6
15,0.01,8,10,0.9116242299488373,0.9363304010666674,70,0.7608044147491455,0.6631197517689378,5
15,0.01,10,10,0.9153591687154241,0.9369310181539611,65,0.7423167824745178,0.6466271881020449,6
15,0.01,12,10,0.9133916714365257,0.9368802138677891,70,0.7453372478485107,0.6728980942226116,6
15,0.05,5,10,0.9162324369560441,0.9383015027337915,70,0.734422504901886,0.6634400667713766,6
15,0.05,6,10,0.916053130329914,0.9386923862808836,70,0.7054983377456665,0.6734633111121862,6
15,0.05,8,10,0.9122377106279583,0.9379504166196359,70,0.7287265062332153,0.6836966065487142,6
15,0.05,10,10,0.9154305885883599,0.9383266176834981,70,0.728832483291626,0.6595523193696625,6
15,0.05,12,10,0.9149952123305253,0.9385469350789346,65,0.7090586423873901,0.6700412186890347,6
15,0.1,5,10,0.9157712800832282,0.9398694784011654,70,0.7054232954978943,0.68425279505411,6
15,0.1,6,10,0.9162725549769388,0.9404363558321519,70,0.6768434643745422,0.6692497063780317,6
15,0.1,8,10,0.9156159062387085,0.9404818325698219,65,0.6798062324523926,0.664389012738219,6
15,0.1,10,10,0.9162807700433706,0.9403740215110068,70,0.6930371522903442,0.6629925061836215,6
15,0.1,12,10,0.9162690374146184,0.9403646064660365,70,0.6599985957145691,0.6642158076451496,6
15,0.2,5,10,0.9215029697799098,0.9431415349083553,70,0.6158069372177124,0.668978873258528,6
15,0.2,6,10,0.9213384903468517,0.9440071535640808,70,0.6194350719451904,0.658948353160225,6
15,0.2,8,10,0.9222655906488054,0.9440923253246455,70,0.6218663454055786,0.635798699423942,6
15,0.2,10,10,0.9210634080681748,0.9442721306431551,70,0.6061001420021057,0.6767360037801401,6
15,0.2,12,10,0.9227399495118491,0.9438381079789222,70,0.6172177791595459,0.6563041318007683,6
15,0.5,5,10,0.9288507789953442,0.9446590758562314,70,0.4928075075149536,0.6446561614347879,9
15,0.5,6,10,0.9287583650637492,0.948732426381094,70,0.47574254870414734,0.6360731228813542,6
15,0.5,8,10,0.9306436671522238,0.9513780807333985,65,0.49278661608695984,0.6341060557111744,9
15,0.5,10,10,0.9281000465965692,0.952489697215805,70,0.4982450604438782,0.6417227545035279,6
15,0.5,12,10,0.9303960352174777,0.9524427021379431,70,0.49872955679893494,0.6421004306708975,7
20,0.01,5,10,0.9165802971538691,0.9381469437169991,70,0.744636058807373,0.7012072729207313,6
20,0.01,6,10,0.9167761674911789,0.9386203808896628,60,0.7357954978942871,0.6972222529565473,6
20,0.01,8,10,0.9177388886773898,0.9390683224144192,60,0.7624108195304871,0.713767290123541,6
20,0.01,10,10,0.917845929434583,0.9390707446345485,65,0.7435435056686401,0.7093230191358335,6
20,0.01,12,10,0.9164593865148682,0.9393020421675574,70,0.7327373623847961,0.7121732759519723,6
20,0.05,5,10,0.920212380617163,0.9395784624556993,70,0.7134164571762085,0.7102227560899619,6
20,0.05,6,10,0.9146124436661281,0.940236520445163,65,0.7204217314720154,0.6825384718590153,6
20,0.05,8,10,0.9218072166575723,0.9406127170564147,65,0.7117705345153809,0.6872788438144706,6
20,0.05,10,10,0.9195021892372834,0.940647783590661,70,0.7087641954421997,0.7058165420534008,6
20,0.05,12,10,0.9172386601471543,0.9406989596698123,60,0.705030620098114,0.6794601376536087,6
20,0.1,5,10,0.9193190756291483,0.9410183699126419,70,0.6746286749839783,0.7060512091861826,6
20,0.1,6,10,0.9210370708768771,0.9418921880506627,70,0.6634699702262878,0.6990748457531866,6
20,0.1,8,10,0.9216320286961843,0.9422659401787323,70,0.6720865964889526,0.6814119452458506,6
20,0.1,10,10,0.9190642749914454,0.9424708760310855,70,0.6890454888343811,0.7048782811495277,6
20,0.1,12,10,0.9221787202173231,0.9423855773711208,70,0.6614289283752441,0.6931888499452563,6
20,0.2,5,10,0.9242120716059921,0.9436065121210078,65,0.6147193908691406,0.6870717992737488,10
20,0.2,6,10,0.924852601894096,0.9448495830241551,70,0.6086071729660034,0.6899258168179216,6
20,0.2,8,10,0.9250317972049628,0.9452225025140553,70,0.6128866076469421,0.6755386118288895,10
20,0.2,10,10,0.9251537542074386,0.9456023524922486,65,0.6184688806533813,0.7001416333284138,10
20,0.2,12,10,0.9248970834733123,0.9455948609750283,70,0.6106782555580139,0.6967921012959973,6
20,0.5,5,10,0.9298164834306117,0.9450117159314628,65,0.47051000595092773,0.6553153939341182,10
20,0.5,6,10,0.930106370639308,0.9493879285721123,65,0.46759992837905884,0.6431195706911369,6
20,0.5,8,10,0.9333663049143239,0.9528466941704419,65,0.48241621255874634,0.6617821699388774,9
20,0.5,10,10,0.9299510190578409,0.9535467714454977,70,0.4724336266517639,0.6433128655510337,9
20,0.5,12,10,0.9332756497638892,0.9534381121643761,65,0.4677395224571228,0.6389614435211244,9
27,0.01,5,10,0.9180548904468573,0.9389199035475508,55,0.7013645768165588,0.6652256122686844,6
27,0.01,6,10,0.9209837063396491,0.9394152453377271,70,0.6988935470581055,0.674078195474395,6
27,0.01,8,10,0.917677910176152,0.9394701927779993,70,0.6920605897903442,0.6899723257476942,6
27,0.01,10,10,0.9167214003816333,0.9399449879968753,65,0.6869973540306091,0.6598234134988783,9
27,0.01,12,10,0.91972012225978,0.9402298459819756,25,0.69578617811203,0.6480069128996361,9
27,0.05,5,10,0.9200916035564781,0.9403636335706352,70,0.6636727452278137,0.6955948726979331,9
27,0.05,6,10,0.9182863816684244,0.940706086072969,70,0.6762137413024902,0.677140363377257,9
27,0.05,8,10,0.9207153029767705,0.9409924401352079,65,0.6796709895133972,0.6930554028295203,9
