n_neighbors,min_dist,n_components,n_seeds,trustworthiness_consensus,trustworthiness_mean_seeds,best_k,best_silhouette,best_ari_seed_consensus,best_min_cluster_size,sil_norm,ari_norm,combined_score
20,0.05,8,10,0.9218072166575724,0.9406127170564148,65,0.7117705345153809,0.6872788438144706,6,0.9999999689539932,0.9042141961517536,0.9521070825528735
20,0.1,12,10,0.9221787202173232,0.9423855773711208,70,0.6614289283752441,0.6931888499452563,6,0.8437093845465993,0.938125752901887,0.8909175687242432
27,0.05,12,10,0.9219062204527548,0.9415122979989746,65,0.662771463394165,0.6884566037667998,6,0.8478774196726627,0.9109721711144866,0.8794247953935747
36,0.05,5,10,0.9218407448148794,0.9414654431783448,20,0.6617640256881714,0.688399886106788,10,0.8447497278905315,0.9106467257420688,0.8776982268163002
27,0.1,10,10,0.9222070610833604,0.9430411151830234,65,0.6268065571784973,0.7039721013089848,9,0.7362207475562303,0.999999942620099,0.8681103450881646
