n_neighbors,min_dist,n_components,n_seeds,trustworthiness_consensus,trustworthiness_mean_seeds,best_k,best_silhouette,best_ari_seed_consensus,best_min_cluster_size,sil_norm,ari_norm,combined_score
45,0.01,5,5,0.9194586872323842,0.9403397519940461,20,0.6795192360877991,0.7106268673416766,10,0.8359702750187533,0.7616085812951069,0.7987894281569301
45,0.05,8,5,0.9232576100123182,0.9425345416827795,20,0.6570148468017578,0.7357621774154853,10,0.589788598999192,0.9999999051568002,0.794894252077996
53,0.03,5,5,0.920486861793418,0.941373835169256,20,0.6634198427200317,0.7082566291573098,10,0.6598546030136692,0.7391284838950947,0.6994915434543819
53,0.01,5,5,0.9195274578020534,0.9408329676626934,25,0.6499696373939514,0.7128436519167313,10,0.5127191243346051,0.7826332755603324,0.6476761999474687
70,0.01,5,5,0.9212477906703116,0.9407047770054724,20,0.653155505657196,0.70902268211355,10,0.5475702095453274,0.7463939752636122,0.6469820924044698
53,0.01,8,5,0.9200800045060419,0.9415976278272129,20,0.6759796142578125,0.6814114920642085,10,0.7972493826850069,0.48452061344986114,0.640884998067434
42,0.01,8,5,0.9197957053235635,0.9415843768582691,20,0.6945137977600098,0.6565047487555671,10,0.9999998906072621,0.24829708992876562,0.6241484902680139
70,0.01,8,5,0.9182780775497819,0.9414846784558435,20,0.6646593809127808,0.6881979900883735,10,0.6734142506851787,0.548885932342476,0.6111500915138273
42,0.05,8,5,0.9221717741448928,0.9428943393294414,20,0.6498186588287354,0.7034854896133614,10,0.5110675284723271,0.6938774697293332,0.6024724991008301
45,0.03,8,5,0.9213955505508213,0.9418605722895791,25,0.6423479318618774,0.7116660152228347,10,0.42934320072412274,0.7714641923199927,0.6004036965220577
